Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Total Students,GPA
ACCY,398,Practical Problems in Atg,1022,424,9,18,16,0,0,44,0,0,0,0,5,3,1538,3.91
ACCY,405,Assurance and Attestation,88,910,879,1030,756,241,137,61,33,7,11,0,5,9,4158,3.39
ACCY,410,Advanced Financial Reporting,320,826,529,445,599,391,147,98,41,13,34,4,15,13,3462,3.32
ACCY,415,Auditing Stds and Practice,8,274,145,200,181,88,23,43,21,5,9,5,6,2,1008,3.27
ACCY,432,Intro to Mgt Info Systems,1,9,7,2,3,0,0,0,0,0,0,0,0,0,22,3.7
ACCY,449,Tax in Action - VITA,0,49,0,0,3,0,0,0,0,0,0,0,0,0,52,3.94
ACCY,451,Advanced Income Tax Problems,150,723,198,255,531,99,67,134,24,4,7,0,4,3,2196,3.37
ACCY,500,"Atg Measuremnt, Rpting & Cntrl",3638,2915,1842,1031,839,260,99,40,19,4,3,0,52,25,10742,3.72
ACCY,501,Accounting Analysis I A,554,1111,751,546,488,190,93,74,30,9,13,9,79,21,3947,3.46
ACCY,502,Accounting Analysis II A,357,1132,649,476,395,222,111,92,28,6,15,1,15,9,3499,3.49
ACCY,503,Managerial Accounting,2344,4720,2384,1761,1387,484,185,144,47,12,12,4,148,27,13632,3.61
ACCY,504,Auditing,173,1088,623,423,886,132,17,11,5,0,3,0,5,2,3366,3.51
ACCY,505,Federal Taxation,344,1679,610,513,546,196,56,49,7,2,2,1,23,4,4028,3.59
ACCY,506,Advanced Financial Reporting,108,186,100,117,87,52,16,19,2,0,6,0,1,0,694,3.48
ACCY,507,Taxation of Bus Entities A,225,339,116,85,53,26,24,15,5,4,2,1,2,1,897,3.67
ACCY,510,Financial Reporting Standards,192,932,530,560,606,205,32,25,4,0,1,0,3,2,3090,3.5
ACCY,511,External Risk Measurement/Rept,51,340,485,406,220,37,10,9,1,0,0,0,1,0,1560,3.52
ACCY,512,Data Analytics for Mgmt Acctg,199,1416,629,327,137,55,10,12,3,0,0,1,3,1,2792,3.75
ACCY,515,Auditing & Assurance Standards,16,536,395,441,426,128,13,16,5,0,1,2,1,2,1980,3.44
ACCY,516,Ethics,1,15,7,6,4,2,0,1,0,0,0,0,1,0,37,3.49
ACCY,517,Financial Statement Analysis,129,1151,543,403,409,145,14,20,3,0,0,0,1,5,2818,3.6
ACCY,518,Financial Statement Fraud,327,70,6,9,4,0,0,1,0,0,0,0,0,0,417,3.97
ACCY,519,Govt & NFP Accounting,6,3,3,2,1,4,2,0,0,0,0,0,0,1,21,3.43
ACCY,531,FSA for MBAs,0,243,45,16,8,1,1,0,0,0,0,0,0,0,314,3.88
ACCY,532,Accounting for M&As,441,66,18,8,5,1,0,0,1,2,0,0,4,1,546,3.92
ACCY,550,Multistate Taxation,28,80,36,23,15,6,2,1,0,0,0,0,0,0,191,3.71
ACCY,551,Corporate Income Taxation,44,113,90,146,223,18,5,3,0,0,1,0,0,0,643,3.39
ACCY,552,Partnership Income Taxation,36,166,125,148,233,18,8,1,0,0,1,0,1,0,737,3.43
ACCY,553,Advanced Tax Topics,26,76,84,67,73,7,0,0,0,0,0,0,0,0,333,3.53
ACCY,554,International Taxation,39,82,46,40,48,8,3,0,0,0,0,0,1,0,267,3.59
ACCY,555,Income Tax Accounting,5,33,44,46,22,6,0,1,0,0,0,0,0,0,157,3.51
ACCY,556,Tax Research,29,312,153,107,134,16,1,16,0,0,1,0,0,0,769,3.59
ACCY,557,Consolidated Tax Returns,33,150,102,62,58,22,2,3,0,0,0,0,0,0,432,3.6
ACCY,558,Taxation of Closely-Held Bus.,16,76,43,14,10,0,0,0,0,0,0,0,1,0,160,3.77
ACCY,559,Tax Policy,7,101,98,58,26,4,1,0,0,0,0,0,0,0,295,3.65
ACCY,560,Information in Value Creation,99,182,157,39,14,0,0,0,0,0,0,0,0,0,491,3.81
ACCY,561,Taxes and Business Strategy,4,42,20,13,41,5,0,1,0,0,0,0,0,0,126,3.48
ACCY,562,Tax Procedures,1,4,6,7,4,1,1,1,0,0,0,0,0,0,25,3.37
ACCY,563,Consolidated Returns,2,6,6,6,2,2,0,0,0,0,0,0,0,0,24,3.56
ACCY,564,Reorganizations,2,3,12,4,2,1,0,0,0,0,0,0,0,0,24,3.58
ACCY,569,Data Driven Decisions in Acctg,94,86,45,34,18,10,5,4,1,0,3,0,9,0,309,3.57
ACCY,570,Data Analytics Foundations,244,770,198,62,51,14,6,6,1,1,1,0,1,1,1355,3.84
ACCY,571,Stat Analyses for Accountancy,14,153,65,30,38,5,2,5,0,3,1,0,0,0,316,3.65
ACCY,574,Risk Management and Innovation,3,377,14,7,11,2,2,3,2,0,0,1,1,1,423,3.9
ACCY,575,Data Analytics Apps in ACCY,228,690,331,106,41,15,5,3,3,1,0,3,1,0,1427,3.8
ACCY,576,Data Preparation for Accting,145,80,17,12,9,2,1,4,0,0,0,0,6,0,276,3.79
ACCY,577,Machine Learning for Accting,59,89,56,14,12,3,1,0,0,0,0,0,3,0,237,3.76
ACCY,578,ACCY Analytics Appl - A,95,40,27,4,5,2,0,1,1,0,0,0,1,0,176,3.84
ACCY,593,Disruption & Emerging Tech,229,712,119,95,220,28,9,7,1,0,1,0,0,0,1421,3.72
ACE,100,Intro to Applied Micro,231,480,454,398,525,303,252,272,163,88,109,80,111,13,3466,2.86
ACE,161,Microcomputer Applications,69,4809,32,25,1405,6,10,468,3,4,139,2,117,28,7089,3.53
ACE,199,Applied Statistics Lab,559,587,63,46,151,11,7,33,3,0,12,1,19,5,1492,3.72
ACE,203,Intro to Public Policy & Law,11,30,33,18,5,1,0,2,0,0,1,0,0,0,101,3.64
ACE,210,Environmental Economics,307,621,311,315,464,193,116,166,61,35,32,17,47,10,2685,3.2
ACE,220,Introduction to Sales,3,12,9,7,4,5,1,0,0,0,0,0,0,0,41,3.51
ACE,221,Negotiation,105,25,7,4,5,3,3,3,0,0,1,0,0,0,156,3.82
ACE,222,Agricultural Marketing,276,601,290,229,371,129,89,124,34,22,34,8,44,5,2251,3.28
ACE,231,Food and Agribusiness Mgt,167,552,419,341,274,124,58,53,20,10,13,4,20,1,2055,3.41
ACE,232,Farm Management,68,217,138,111,247,81,58,83,21,13,25,4,13,0,1079,3.11
ACE,240,Personal Financial Planning,3585,2779,596,529,1160,238,159,440,67,35,125,35,215,19,9963,3.52
ACE,251,The World Food Economy,382,1104,713,532,563,325,198,171,72,32,36,13,63,10,4204,3.31
ACE,254,Economic Systems in Africa,38,108,50,47,76,23,17,40,14,12,18,1,13,1,457,3.04
ACE,255,Econ of Food and Envir Justice,496,192,83,49,38,22,9,10,6,3,4,0,10,0,922,3.74
ACE,261,Applied Statistical Methods,126,199,124,134,205,109,85,98,52,32,34,7,30,6,1235,2.97
ACE,262,App Stat Mthds & Data AnlytcsI,74,135,102,56,119,55,33,44,31,18,17,7,24,0,715,3.03
ACE,264,App Stat Mthds & Data Anlytcs2,94,130,108,86,94,65,58,50,30,14,13,5,16,4,763,3.09
ACE,270,Consumer Economics,45,198,125,122,156,94,62,71,33,16,16,1,36,3,975,3.01
ACE,300,Interm. Applied Microeconomics,122,245,65,81,155,59,43,78,26,13,25,11,13,2,936,3.15
ACE,306,Food Law,47,139,99,45,85,42,19,32,9,3,8,1,7,0,536,3.28
ACE,310,Natural Resource Economics,91,374,198,165,175,99,56,48,24,11,8,3,17,3,1269,3.32
ACE,332,Farm Management,0,5,9,7,5,2,0,0,0,0,0,0,0,0,28,3.45
ACE,335,Food Marketing and Behavior,57,97,56,33,32,11,2,5,3,1,0,0,1,0,298,3.62
ACE,341,Issues in Agribus Mkts & Mgmt,442,619,208,62,118,26,11,35,10,4,17,2,18,1,1572,3.67
ACE,344,FinTech Pers Fin & Fin Plan,22,43,3,4,6,1,1,0,2,0,0,0,0,1,82,3.79
ACE,345,Finan Decision Indiv Sm Bus,59,786,216,231,199,95,49,42,19,13,4,4,3,3,1720,3.52
ACE,346,Tax Policy and Finan Planning,170,218,144,82,119,60,27,26,14,2,5,5,2,1,874,3.46
ACE,349,RM & FP Across the Life Cycle,0,3,12,8,6,3,1,2,0,0,0,0,0,0,35,3.29
ACE,360,Spreadsheet Models & Applic,213,396,178,104,116,74,31,35,27,9,9,6,20,5,1218,3.44
ACE,398,"Rec, Sprt, & Tour Econ Croatia",105,518,100,54,68,16,16,17,5,3,0,5,17,2,924,3.65
ACE,403,Agricultural Law,30,57,64,49,31,17,6,20,5,1,2,1,2,0,285,3.34
ACE,406,Environmental Law,33,103,61,48,98,52,15,55,24,8,21,10,16,2,544,2.91
ACE,410,Energy Economics,16,23,8,9,9,7,6,1,0,0,0,0,1,0,80,3.46
ACE,411,Environment and Development,117,132,95,66,86,45,30,18,7,3,5,3,9,2,616,3.36
ACE,427,Commodity Price Analysis,125,227,191,189,186,127,100,66,40,17,17,7,12,2,1304,3.15
ACE,428,Commodity Futures and Options,134,315,271,196,201,154,96,85,29,26,20,23,17,1,1567,3.17
ACE,430,Food Marketing,21,74,78,106,109,64,56,30,13,2,24,0,4,0,581,3.02
ACE,431,Agri-food Strategic Management,20,110,77,76,74,49,30,13,5,1,0,0,0,0,455,3.33
ACE,432,Advanced Farm Management,64,34,20,14,6,7,2,7,2,0,0,1,0,0,157,3.64
ACE,435,Global Agribusiness Management,330,534,311,232,306,100,47,43,15,9,9,0,13,1,1949,3.49
ACE,440,Finan Plan for Professionals,20,161,64,24,115,20,10,15,7,0,3,1,4,0,444,3.39
ACE,444,Finan Serv & Invest Plan,111,471,199,164,278,102,58,79,34,5,43,9,17,8,1570,3.26
ACE,445,Int Personal Fin & Estate Plan,117,251,20,26,94,21,15,38,4,1,4,1,9,1,601,3.48
ACE,446,Modeling App's Finan Plan,43,177,24,38,80,27,27,51,21,6,23,10,11,3,538,3.06
ACE,447,Case Stud Agr Accy & Fin Plan,8,80,67,29,14,10,3,2,0,0,0,0,0,1,213,3.63
ACE,448,Rural Real Estate Appraisal,21,29,22,33,41,22,11,12,3,0,0,0,0,0,194,3.23
ACE,449,Retirement & Benefit Planning,82,154,110,92,136,51,33,37,16,8,12,5,6,2,742,3.24
ACE,451,Agriculture in Intl Dev,24,64,35,54,55,21,29,25,8,0,3,1,2,1,321,3.16
ACE,454,Econ Dev of Tropical Africa,7,38,15,19,52,25,8,36,5,4,8,3,4,0,224,2.84
ACE,455,Intl Trade in Food and Agr,117,166,133,98,134,49,38,35,15,5,6,1,7,3,804,3.33
ACE,456,Agricultural and Food Policies,25,117,16,18,76,12,8,18,5,1,7,0,3,0,306,3.33
ACE,471,Consumer Economic Policy,19,15,10,6,9,5,3,2,2,3,0,0,1,0,75,3.35
ACE,474,Economics of Consumption,33,97,71,75,108,87,60,47,27,7,8,3,6,5,629,3.0
ACE,476,Behavioral Economics,12,131,113,133,121,78,65,45,24,11,4,2,9,4,748,3.08
ACE,499,"Audit of Sm, Med, & Ag Bus",0,6,6,6,1,5,2,1,0,0,0,0,0,0,27,3.3
ACE,562,Applied Regression Models I,10,102,32,21,20,2,0,1,0,0,0,0,0,0,188,3.74
ACE,563,Math Program App Econ I,20,10,4,2,4,4,0,0,0,0,0,0,0,0,44,3.73
ACE,564,Applied Regression Models II,5,94,39,18,14,5,0,1,0,0,0,0,0,0,176,3.73
ACE,592,Data Science for Applied Econo,19,33,23,23,27,9,1,7,0,0,0,0,1,0,143,3.43
ACES,101,Contemporary Issues in ACES,1414,1749,233,106,157,38,52,50,20,15,24,7,48,3,3913,3.77
ACES,102,Intro Sustainable Food Systems,77,127,32,8,16,4,5,6,2,1,0,1,6,1,285,3.68
ACES,179,History of Ag in IL Since 1860,37,163,96,74,127,38,27,30,14,4,8,5,29,4,652,3.14
ACES,199,Learning HowTo Learn Boot Camp,75,64,34,10,15,5,3,7,4,5,1,6,12,2,241,3.37
ACES,298,International Experience,18,2,0,0,0,0,0,1,0,0,0,0,0,0,21,3.9
ACES,409,Bioenergy Systems,1,6,5,1,2,3,6,1,0,0,1,0,0,0,26,3.1
ACES,501,Advanced Bioenergy Topics,8,16,6,0,1,0,0,0,0,0,0,0,0,0,31,3.9
ADV,150,Introduction to Advertising,1947,2934,261,261,927,92,90,218,23,20,67,13,146,18,6999,3.6
ADV,175,Diversity in Advertising,1,227,126,90,57,27,12,12,2,2,0,2,5,0,563,3.51
ADV,199,Creativity Conquers the World,0,21,0,1,0,0,1,0,0,0,0,0,1,0,24,3.74
ADV,200,Data Literacy,7,21,15,16,12,8,12,6,1,0,4,0,0,0,102,3.17
ADV,201,Personal Branding,7,120,43,12,26,8,1,2,2,1,1,1,0,0,224,3.65
ADV,250,Advertising and Brand Strategy,1,225,27,6,18,4,3,4,1,3,1,1,0,0,294,3.78
ADV,270,Principles of Sales,315,81,51,50,37,19,21,17,14,10,7,5,21,1,648,3.44
ADV,281,Advertising Research Methods,95,420,254,264,702,187,148,258,74,46,47,22,43,6,2560,2.96
ADV,283,Advertising and Brand Strategy,160,1138,469,145,89,56,6,10,8,1,1,3,9,0,2095,3.75
ADV,284,Consumer Insight,147,704,666,278,153,85,22,28,13,6,4,4,8,1,2118,3.59
ADV,290,AI and Advertising,64,246,78,45,64,20,16,9,7,2,3,1,5,1,560,3.56
ADV,300,Introduction to Advertising,269,1326,230,216,828,126,83,221,21,14,38,4,50,14,3426,3.35
ADV,301,Becoming an Influencer,71,92,9,7,32,4,0,10,0,1,5,1,3,0,235,3.58
ADV,305,AdTech and the Digital World,200,332,62,40,51,12,6,12,4,1,3,1,6,0,730,3.73
ADV,310,Intro to Public Relations,185,657,423,250,669,182,97,161,44,11,24,8,40,12,2751,3.24
ADV,311,Classic Campaigns,0,99,116,92,76,27,9,6,1,1,3,0,5,0,435,3.37
ADV,312,Advertising History,0,30,51,79,81,55,38,26,10,10,4,9,8,0,401,2.84
ADV,314,Sports Public Relations,66,32,17,7,10,6,3,6,2,4,0,1,4,1,158,3.49
ADV,320,Sales Management,325,169,91,81,52,27,30,24,14,12,3,7,25,2,860,3.46
ADV,350,Writing for Public Relations,103,143,54,37,24,7,2,4,4,2,2,2,2,0,386,3.68
ADV,360,Innovations in Advertising,0,79,47,14,28,7,6,5,4,0,4,0,0,0,194,3.47
ADV,370,Sales and the Consumer,462,147,97,75,63,49,48,21,10,19,11,13,69,3,1084,3.3
ADV,390,Content Creation,0,400,362,352,505,310,177,111,37,12,6,6,8,2,2286,3.13
ADV,393,Advertising and Society,291,390,190,101,103,41,15,25,11,0,5,0,10,1,1182,3.62
ADV,400,Copywriting,9,153,43,11,23,3,3,8,1,0,0,0,1,0,255,3.7
ADV,409,Media Entrepreneurship,43,296,54,43,10,4,4,6,0,0,1,0,5,1,466,3.78
ADV,410,Public Relations Strategies,339,611,324,189,186,44,34,22,8,3,2,0,2,3,1764,3.65
ADV,411,Classic Campaigns,19,45,26,11,9,4,0,1,0,0,1,0,0,0,116,3.7
ADV,412,Advertising History,0,21,51,88,114,60,44,28,19,6,4,1,3,0,439,2.89
ADV,450,Content Creation,0,94,124,152,192,114,67,49,11,5,0,0,2,1,810,3.08
ADV,460,Innovations in Advertising,186,757,310,254,187,101,62,46,23,12,10,3,7,1,1958,3.52
ADV,461,Computational Advertising,3,5,9,1,2,0,0,1,0,0,0,0,0,0,21,3.64
ADV,475,Multicultural Advertising,0,1,6,9,9,3,4,2,0,0,0,0,1,0,35,2.98
ADV,476,Global Advertising,1,27,27,17,7,2,0,0,1,1,0,0,0,0,83,3.58
ADV,478,Psychology of Advertising,4,29,1,0,20,0,4,4,1,0,2,0,1,0,66,3.28
ADV,480,Social Media Analytics,30,18,1,0,4,1,0,0,0,0,0,0,0,1,54,3.9
ADV,481,Advertising Research Methods,1,194,16,10,284,11,13,102,5,0,16,1,3,1,656,3.07
ADV,483,Audience Analysis,52,452,752,615,435,230,94,49,21,13,8,2,6,1,2729,3.34
ADV,490,Digital Portfolio,99,213,68,32,31,14,2,8,3,0,4,0,12,1,486,3.63
ADV,491,Social Media Management,15,185,168,128,91,33,14,9,5,1,1,0,0,0,650,3.48
ADV,492,Tech and Advertising Campaigns,22,121,25,23,14,3,2,1,0,0,1,0,1,0,213,3.75
ADV,493,Advertising and Society,200,194,73,71,71,36,32,14,5,1,2,2,2,3,703,3.56
ADV,494,Persuasion Consumer Response,0,103,27,22,14,6,8,9,1,0,1,0,0,0,191,3.57
ADV,498,The Sandage Project,0,575,190,61,44,3,3,2,1,0,0,0,0,0,879,3.81
ADV,550,Foundations of Advertising,0,7,7,5,4,2,0,0,0,0,0,0,0,0,25,3.51
ADV,580,Advertising Theory,0,24,20,7,1,0,0,0,0,0,0,0,0,0,52,3.76
ADV,581,Quanti Research Methods in Adv,1,14,0,2,16,2,0,0,0,0,0,0,0,0,35,3.43
ADV,582,Qualitative Rsrch in Advert,2,41,25,4,6,0,0,0,0,0,0,0,0,0,78,3.78
ADV,587,Graduate Seminar I,0,5,15,3,1,0,0,0,0,0,0,0,0,0,24,3.67
ADV,588,Graduate Seminar II,0,9,7,5,4,0,0,0,0,0,0,0,0,0,25,3.61
AE,100,Intro to Aerospace Engineering,293,1006,221,113,102,39,17,19,10,2,1,4,13,2,1840,3.75
AE,140,CAD,22,359,95,51,47,30,12,13,2,7,6,2,25,1,671,3.48
AE,199,"Design, Build, Fly",130,653,227,133,80,40,27,14,18,3,13,6,26,2,1370,3.57
AE,201,Aerospace Flight Mechanics I,10,26,4,12,16,6,1,2,5,0,1,0,1,0,84,3.31
AE,202,Aerospace Flight Mechanics,291,453,294,204,167,105,42,35,19,1,14,4,45,4,1674,3.42
AE,252,Aerospace Dynamics I,9,10,8,9,10,7,10,11,5,3,2,4,2,0,90,2.74
AE,302,Aerospace Flight Mechanics II,22,30,19,25,18,9,2,6,1,0,0,0,1,0,133,3.44
AE,311,Incompressible Flow,155,365,216,132,354,92,80,167,23,6,32,14,44,9,1680,3.11
AE,312,Compressible Flow,80,374,133,109,330,81,47,181,33,11,77,10,36,5,1502,2.99
AE,321,Mechs of Aerospace Structures,42,265,148,180,258,166,159,162,87,56,76,39,123,10,1761,2.61
AE,322,Aerospace Structures II,5,5,3,6,12,18,1,10,3,5,9,3,3,1,83,2.41
AE,323,Applied Aerospace Structures,51,265,149,140,242,115,92,120,70,30,54,25,56,5,1409,2.83
AE,352,Aerospace Dynamical Systems,316,279,216,180,182,136,107,70,41,12,26,8,25,8,1598,3.25
AE,353,Aerospace Control Systems,215,392,200,166,241,123,55,76,31,15,26,18,53,8,1611,3.2
AE,360,Structures & Control Lab,2,19,16,14,15,5,1,3,0,0,0,0,0,0,75,3.41
AE,370,Aerospace Numerical Methods,78,450,182,127,152,81,33,40,33,13,33,26,31,6,1279,3.25
AE,402,Orbital Mechanics,115,195,104,66,115,75,24,43,20,0,6,1,10,4,774,3.32
AE,403,Spacecraft Attitude Control,33,48,34,28,13,17,3,7,0,0,0,0,1,0,184,3.52
AE,410,Computational Aerodynamics,54,140,55,30,26,18,11,11,8,2,4,6,10,0,375,3.4
AE,412,Viscous Flow & Heat Transfer,36,101,26,23,39,10,8,8,1,1,3,1,2,2,259,3.49
AE,416,Applied Aerodynamics,29,136,81,84,93,59,33,30,17,8,7,0,14,0,591,3.14
AE,419,Aircraft Flight Mechanics,40,115,73,75,77,38,33,25,10,8,4,4,9,0,511,3.19
AE,433,Aerospace Propulsion,22,410,188,157,176,126,88,95,58,10,63,6,11,2,1410,3.1
AE,434,Rocket Propulsion,1,88,56,62,97,24,14,38,9,0,2,0,12,2,403,3.1
AE,435,Electric Space Propulsion,4,59,37,34,47,26,20,13,7,0,15,0,2,1,264,3.07
AE,440,Aerospace Systems Design I,7,21,8,6,2,0,1,0,0,0,0,0,0,0,45,3.77
AE,441,Aerospace Systems Design II,1,51,37,13,13,1,0,1,0,0,0,0,0,0,117,3.68
AE,442,Aerospace Systems Design I,103,230,197,185,219,106,63,91,39,17,27,4,20,4,1301,3.12
AE,443,Aerospace Systems Design II,107,342,340,182,150,48,12,10,1,0,0,0,2,1,1194,3.58
AE,451,Aeroelasticity,16,16,15,12,12,3,1,5,0,0,0,0,0,0,80,3.49
AE,454,Systems Dynamics & Control,12,20,13,11,5,2,1,0,0,0,0,0,0,1,64,3.67
AE,460,Aerodynamics & Propulsion Lab,33,572,374,215,150,36,18,9,4,0,0,0,3,2,1414,3.62
AE,461,Structures & Control Lab,68,446,432,178,93,40,27,25,13,5,3,2,3,1,1335,3.57
AE,470,Aerospace Numerical Methods,7,14,12,13,8,6,4,7,1,0,1,2,2,0,77,3.1
AE,480,Hypersonic Aerothermodynamics,2,12,6,5,3,1,0,0,0,0,0,0,2,0,31,3.43
AE,483,Autonomous Systems Lab,285,613,168,84,70,20,18,7,5,3,6,1,10,4,1290,3.74
AE,498,Sustainable Aviation,42,154,60,44,59,17,9,9,1,1,0,0,0,0,396,3.57
AE,502,Advanced Orbital Mechanics,31,5,2,3,2,1,0,1,2,0,0,1,0,0,48,3.67
AE,504,Optimal Aerospace Systems,21,51,25,5,14,5,1,4,1,0,0,0,0,1,127,3.65
AE,508,Optimal Space Trajectories,22,2,0,2,3,0,0,0,0,0,0,0,0,0,29,3.85
AE,512,Molecular Gas Dynamics,4,19,2,0,0,0,0,0,0,0,0,0,1,0,26,3.82
AE,515,Wing Theory,2,12,3,0,2,2,2,0,0,0,0,0,0,1,23,3.61
AE,526,Composites Manufacturing,0,9,8,2,5,2,0,0,0,0,0,0,0,0,26,3.55
AE,542,Aerospace Syst Engineering I,0,11,23,8,5,1,0,0,0,0,0,0,0,0,48,3.6
AE,543,Aerospace Syst Engineering II,1,6,8,10,0,0,0,0,0,0,0,0,0,0,25,3.63
AE,598,Modal Analysis of Fluid Flow,9,31,7,3,1,2,1,0,0,0,0,0,1,0,55,3.75
AFRO,100,Intro to African American St,254,427,309,132,150,107,41,46,43,13,13,12,66,7,1613,3.3
AFRO,101,"Black America, 1619-Present",42,115,130,121,105,49,41,24,22,9,16,7,43,5,724,2.99
AFRO,103,Black Women in the Diaspora,11,88,71,39,63,40,16,10,20,7,9,7,17,0,398,3.0
AFRO,105,Black Literature in America,16,75,39,25,24,12,7,7,9,2,2,1,1,2,220,3.39
AFRO,132,African American Music,2,365,202,132,93,66,35,29,17,15,6,7,44,4,1013,3.26
AFRO,199,"100 Strong: Acad, Ldrshp & Com",51,85,26,22,19,11,2,8,2,0,0,0,2,0,228,3.61
AFRO,224,Humanist Persp of Afro-Am Exp,47,54,18,12,1,2,0,0,1,0,0,0,2,1,137,3.8
AFRO,226,Black Women Contemp US Society,12,27,13,8,6,1,3,0,0,0,1,0,0,2,71,3.65
AFRO,227,Studies in Black Television,0,9,4,4,1,1,0,0,1,1,0,0,0,0,21,3.46
